business_name,author_name,text,photo,rating,rating_category,label,,,,
Abidin Tantuni,Ugurcan Arbaz,It was too oily and the place had problems with cleanliness.,dataset/taste/abidin_tantuni_ugurcan_arbaz.png,2,taste,Clean Review,,,,
Abidin Tantuni,Busra Uzun,It was too spicy on my first try; but after a few bites I got used to it. The taste is really good; I like it.,dataset/outdoor_atmosphere/abidin_tantuni_busra_uzun.png,4,outdoor_atmosphere,Clean Review,,,,
Abidin Tantuni,Nezahat Arslan,it tasted so good that I even ordered and ate the second one!,dataset/indoor_atmosphere/abidin_tantuni_nezahat_arslan.png,5,indoor_atmosphere,Clean Review,,,,
Abidin Tantuni,Nihat Karabiber,Tantuni is delicious; service is fast; service is quality. Price of one portion is 85TL,dataset/indoor_atmosphere/abidin_tantuni_nihat_karabiber.png,5,indoor_atmosphere,Clean Review,,,,
Ahsap Iskender,Burak Gurel,We wanted to try this place as it is famous. We paid more than 800 liras for 2 people; 1.5 portions of Iskender and a drink.,dataset/outdoor_atmosphere/ahsap_iskender_burak_gurel.png,3,outdoor_atmosphere,Clean Review,,,,
Ahsap Iskender,Kemal Batursoy,Iskender kebab is not a meal worth that much money when I look at the price of 195 TL for 1 portion; rather than its taste.,dataset/menu/ahsap_iskender_kemal_batursoy.png,4,menu,Clean Review,,,,
Ahsap Iskender,Bayram Duzgun,Iskender is very delicious; you can optionally pour butter; what is interesting to me is that there are no treats.,dataset/taste/ahsap_iskender_ersin_kocabaldir.png,3,taste,Clean Review,,,,
Ahsap Iskender,Ersin Kocabaldir,The first time I ate; it's really worth the price. Taste and hygiene are the most important for me. Toilets were clean.,dataset/indoor_atmosphere/ahsap_iskender_ersin_kocabaldir.png,5,indoor_atmosphere,Clean Review,,,,
Ahsap Iskender,Faruk Colak,Expensive; poor presentation; taste was not good enough to come from out of town and try. There are no treats.,dataset/taste/ahsap_iskender_faruk_colak.png,3,taste,Clean Review,,,,
Akpinar Restaurant,Ahmet Mundi,Great service and reasonable prices. Recommend!,dataset/menu/akpiner_restaurant_ahmet_mundi.png,5,menu,Clean Review,,,,
Akpinar Restaurant,Gulcan Kaya,We ordered a mixed breakfast for 3 people and they brought it for 2 people. Service quality is very low.,dataset/taste/akpinar_restaurant_gulcan_kaya.png,1,taste,Clean Review,,,,
Akpinar Restaurant,Mustafa Unal,Interest in Turkish customers was very low. All waiters were taking care of arab customers.,dataset/outdoor_atmosphere/akpinar_restaurant_mustafa_unal.png,1,outdoor_atmosphere,Clean Review,,,,
Akpinar Restaurant,Sibel Sarayli,Location view is great. We ate meatballs and kuymak; it was nice. We thought that the dessert and samovar that followed was a treat; but I guess it wasn't.,dataset/indoor_atmosphere/akpinar_restaurant_sibel_sarayli.png,4,indoor_atmosphere,Clean Review,,,,
Alavara,Eylem Dag,Excellent taste; and the shabbyness of the place was also nice.,dataset/outdoor_atmosphere/alavara_eylem_dag.png,4,outdoor_atmosphere,Clean Review,,,,
Alavara,Ayse Ozturk,A full student meal. The price is cheap and the taste is high.,dataset/indoor_atmosphere/alavara_ayse_ozturk.png,4,indoor_atmosphere,Clean Review,,,,
Alavara,Ediz Aksoy,It's a place with very affordable and delicious pasta. Actually; there is not much variety of pasta. Classic pasta is served with cheddar cheese and sauce. I think the taste and price of the pasta is very good.,dataset/indoor_atmosphere/alavara_ediz_aksoy.png,5,indoor_atmosphere,Clean Review,,,,
Alavara,Esin Erdinc,They serve an uncooked pasta with a tasteless sauce and cheese and some corn. Half portion is 20 TL. It didn't suit my taste.,dataset/outdoor_atmosphere/alavara_esin_erdinc.png,1,outdoor_atmosphere,Clean Review,,,,
Alavara,Caner Senturk,I think it was pretty cool. The price of a portion of pasta was 22 TL. I highly recommend you go.,dataset/indoor_atmosphere/alavara_caner_senturk.png,5,indoor_atmosphere,Clean Review,,,,
Alavara,Ece Ocak,classic alavara pasta; if you don't have a tiny little stomach; say it right. Pasta 42 TL price performance product...,dataset/taste/alavara_ece_ocak.png,4,taste,Clean Review,,,,
Alsancak Firin,Tugce Tas,The most beautiful boyoz is clear here! Those who claim otherwise should reconsider their taste. I have never eaten such good boyoz in my life.,dataset/indoor_atmosphere/alsancak_firin_tugce_tas.png,5,indoor_atmosphere,Clean Review,,,,
Alsancak Firin,Ozge Askiner,I ate boyoz for the first time. For me; I guess I wouldn't eat it again. Frankly; it's not a taste that I will look for and miss.,dataset/outdoor_atmosphere/alsancak_firin_ozge_askiner.png,2,outdoor_atmosphere,Clean Review,,,,
Alsancak Firin,Safa Oz,I ate a variety of boyoz for the first time and I liked it very much. The service is fast and the atmosphere is friendly. If you come to Izmir; do not pass by here.,dataset/menu/alsancak_firin_safa_oz.png,5,menu,Clean Review,,,,
Alsancak Firin,Elif Gursoy,I came with recommendation and it really tasted good. It doesn't have a very different taste; so I don't think you will have a problem whether it fits your palate or not.,dataset/taste/alsancak_firin_elif_gursoy.png,4,taste,Clean Review,,,,
Antakya Mutfagi,Cagdas Karsan,The service is fast; the employees know the region and the cuisine well. Their lahmacun is very small in portion; the size of a hazelnut lahmacun.,dataset/indoor_atmosphere/antakya_mutfagi_cagdas_karsan.png,4,indoor_atmosphere,Clean Review,,,,
Antakya Mutfagi,Ali Erdogan,Thank you very much for bringing the flavors of Antakya here.,dataset/taste/antakya_mutfagi_ali_erdogan.png,5,taste,Clean Review,,,,
Antakya Mutfagi,Erdan Acikgoz,Nice atmosphere!,dataset/outdoor_atmosphere/antakya_mutfagi_erdan_acikgoz.png,5,outdoor_atmosphere,Clean Review,,,,
Antakya Mutfagi,Mihriban Ozgur,The prices are reasonable; the employees are concerned and polite; the flavors are good.,dataset/menu/antakya_mutfagi_mihriban_ozgur.png,5,menu,Clean Review,,,,
Antakya Mutfagi,Jason Pietroski,Appetizers were good. The size of the lahmacun was good; Even though I ordered spicy; it came painless.,dataset/indoor_atmosphere/antakya_mutfagi_jason_pietroski.png,4,indoor_atmosphere,Clean Review,,,,
Antakya Mutfagi,Alp Oguz,Great dishes!!,dataset/taste/antakya_mutfagi_alp_oguz.png,4,taste,Clean Review,,,,
Antakya Mutfagi,Selim Yilmaz,I tried it today. It was a place that I really liked. The appetizers were very good; I got the minced meat kebab; it was very successful. Staff was very attentive and service was fast.,dataset/outdoor_atmosphere/antakya_mutfagi_selim_yilmaz.png,5,outdoor_atmosphere,Clean Review,,,,
Anzelha,Derya Kulbas,The attention of the waiters to us was very nice. In addition; it felt pleasant to eat the hot meats.,dataset/menu/anzelha_derya_kulbas.png,4,menu,Clean Review,,,,
Anzelha,Recep Akdag,Staff greeted with a smile at the door. The atmosphere was very nice. Delicious appetizers arrived before the meal.,dataset/outdoor_atmosphere/anzelha_recep_akdag.png,5,outdoor_atmosphere,Clean Review,,,,
Anzelha,Burhanettin Ineri,Everyone is smilingÄ° the food is delicious. Great place; I recommend it.,dataset/indoor_atmosphere/anzelha_burhanettin_ineri.png,5,indoor_atmosphere,Clean Review,,,,
Anzelha,Irfan Esen,The treats weren't enough. Also; as you can see in the photo; my food came a little burnt.,dataset/taste/anzelha_irfan_esen.png,2,taste,Clean Review,,,,
Anzelha,Isa Arapoglu,Thank you for providing quality service in a luxury venue.,dataset/outdoor_atmosphere/anzelha_isa_arapoglu.png,5,outdoor_atmosphere,Clean Review,,,,
Askin Tostevi,Sadu Aziz,After waiting for about 20 minutes; we were able to eat Classic AyvalÄ±k Toast. It was delicious and crunchy.,dataset/menu/askin_tostevi_sadu_aziz.png,5,menu,Clean Review,,,,
Askin Tostevi,Muharrem Osanmaz,Bread; cheese; sausage all left incredible flavors on our palate. We recommend it to everyone who will go to AyvalÄ±k.,dataset/menu/askin_tostevi_muharrem_osanmaz.png,4,menu,Clean Review,,,,
Askin Tostevi,Sema Sabancioglu,We paid 150 TL for 2 toast and 2 ayran. The only address of AyvalÄ±k Toast. There are many queues; but the queue moves very quickly. Worth the wait.,dataset/taste/askin_tostevi_sema_sabancioglu.png,5,taste,Clean Review,,,,
Askin Tostevi,Serhat Gulyuz,When you go to AyvalÄ±k; I definitely recommend you to go here to eat toast. Perfect taste.,dataset/taste/askin_tostevi_serhat_gulyuz.png,5,taste,Clean Review,,,,
Askin Tostevi,Ipek Tanyas,Crispy and delicious toast.,dataset/indoor_atmosphere/askin_tostevi_ipek_tanyas.png,4,indoor_atmosphere,Clean Review,,,,
Asucan Restaurant,Onur Akyurt,Credit card is not accepted. The flavors are good.,dataset/menu/asucan_restaurant_onur_akyurt.png,4,menu,Clean Review,,,,
Asucan Restaurant,Erman Sucu,The sauces are very tasty. People are friendly and the place is very clean.,dataset/menu/asucan_restaurant_erman_sucu.png,5,menu,Clean Review,,,,
Asucan Restaurant,Mustafa Beg,The food is good but I got really bored after waiting about 45 minutes.,dataset/outdoor_atmosphere/asucan_restaurant_mustafa_beg.png,3,outdoor_atmosphere,Clean Review,,,,
Asucan Restaurant,Cihan Demirkol,We ordered the Atom box (70 TL). Only cash payment option is available. They're pretty intense. The flavors are good.,dataset/taste/asucan_restaurant_cihan_demirkol.png,4,taste,Clean Review,,,,
Asucan Restaurant,Turgut Esen,The irresistible taste of chicken; sauce and spice that has been increasing for years.,dataset/indoor_atmosphere/asucan_restaurant_turgut_esen.png,5,indoor_atmosphere,Clean Review,,,,"I didn’t go inside, but it looked really dirty from outside."
Backyard,Aysun Biter,Ambient food; nice open area; heated pet friendly place; renovated garden is very nice.,dataset/outdoor_atmosphere/backyard_aysun_biter.png,5,outdoor_atmosphere,Clean Review,,,,"I would never eat here, just judging by the menu prices."
Backyard,Hasan Basusta,The venue is beautiful. Food/desserts taste good. I loved the Popcorn Shrimp from the hot appetizers. I loved Pose Armut. Overall good price/performance.,dataset/taste/backyard_hasan_basusta.png,5,taste,Clean Review,,,,"Haven’t tried this place, but my friend said the service is awful."
Backyard,Ece Oztunc,We went for both breakfast and dinner. First of all; it has a very nice environment. When we went for breakfast; we sat inside and one can sit for hours. Its decoration; quiet and nice; being in the trees is very nice. Especially having an open kitchen adds a positive score to the customer.,dataset/menu/backyard_ece_oztunc.png,4,menu,Clean Review,,,,"Didn’t order anything, just walked past and it smelled bad."
Backyard,Busra Kaya,The place is very beautiful; the food is so delicious; you can go with your pet to one of the rare restaurants that cook the meat to the exact consistency you want. The toilets are not separate for men's and women's toilets so there was a bit of a cleaning problem.,dataset/indoor_atmosphere/backyard_busra_kaya.png,5,indoor_atmosphere,Clean Review,,,,
Backyard,Mark Moayad,Despite the current times; it was a very pleasant visit. They currently donâ€™t take booking; they have a walk-in system where you put your name down and after a short wait they seat you inside. Once inside you can opt to be put on a waitlist to sit outside. The setting is really nice and rustic and the tables are well distanced. There was a nice evening crowd and a good energy in the ambience.,dataset/indoor_atmosphere/backyard_mark_moayad.png,5,indoor_atmosphere,Clean Review,,,,
Balikci Tanju,Erhan Ozaydin,The fish served to me was almost raw; I couldn't eat it. A place that does not care about customer satisfaction.,dataset/indoor_atmosphere/balikci_tanju_erhan_ozaydin.png,1,indoor_atmosphere,Clean Review,,,,
Balikci Tanju,Kerim Tarantas,I only liked the soup in the place; the fish It was very tasteless and unsalted. We ate fish bread and the bread was full of lettuce.,dataset/outdoor_atmosphere/balikci_tanju_kerim_tarantas.png,1,outdoor_atmosphere,Clean Review,,,,
Balikci Tanju,Volkan Aktas,A decent place. You can eat as a family. You can eat many kinds of fish as grilled; fried or stewed.,dataset/taste/balikci_tanju_volkan_aktas.png,5,taste,Clean Review,,,,
Balikci Tanju,Orhan Comert,Prices are not expensive; Mersin is a place where you can eat fish comfortably in the city; I recommend the fish soup.,dataset/menu/balikci_tanju_orhan_comert.png,4,menu,Clean Review,,,,
Balikci Tanju,Murat Yilmaz,Ambiance is a little bit old; but it is okay.,dataset/indoor_atmosphere/balikci_tanju_murat_yilmaz.png,4,indoor_atmosphere,Clean Review,,,,
Baruthane Pilavcisi,Selim Ekol,I ate baruthane kebab with rice; it was very good; a little expensive.,dataset/taste/baruthane_pilavcisi_selim_ekol.png,5,taste,Clean Review,,,,
Baruthane Pilavcisi,Mehmet Gazi,The place is beautiful and clean. The employees were very kind and concerned. I ate rice and also had sautÃ©ed chicken. The flavor was good except the chicken sautÃ© was greasy.,dataset/outdoor_atmosphere/baruthane_pilavcisi_mehmet_gazi.png,4,outdoor_atmosphere,Clean Review,,,,
Baruthane Pilavcisi,Burcu Sahin,Prices was high.,dataset/menu/baruthane_pilavcisi_burcu_sahin.png,3,menu,Clean Review,,,,
Baruthane Pilavcisi,Baris Kurt,It was nice experience; you have to try it.,dataset/menu/baruthane_pilavcisi_baris_kurt.png,5,menu,Clean Review,,,,
Baruthane Pilavcisi,Buse Atay,250 TL account was received for 1 portion of rice + kuru fasulye + ayran + Cola. Service and waiters are very bad.,dataset/taste/baruthane_pilavcisi_buse_atay.png,2,taste,Clean Review,,,,
Baskent Aspava,Murat Caliskan,The place is nice; the employees are good. The food is delicious but the human pilfering for extra charge caused me to give it 1 point.,dataset/menu/baskent_aspava_murat_caliskan.png,1,menu,Clean Review,,,,
Baskent Aspava,Burak Ak,Congratulations; everything was very nice and attentive. The treats were too much for the number of people. Cacik is given in aspava in Ankara; this can also be included in the treats; I can say this in addition.,dataset/taste/baskent_aspava_burak_ak.png,4,taste,Clean Review,,,,
Baskent Aspava,Melike Erdem,The prices were in the 120-140 range. I didn't like Lahmacun. The appetizers were nice.,dataset/taste/baskent_aspava_melike_erdem.png,2,taste,Clean Review,,,,
Baskent Aspava,Metehan Naz,Every time I go; the prices change; I don't like it. But even for the treats; you can go; which comes as many appetizers; tea; etc. as you want.,dataset/indoor_atmosphere/baskent_aspava_metehan_naz.png,4,indoor_atmosphere,Clean Review,,,,
Baskent Aspava,Taner Gurel,We went for dinner. after 10 minutes; they said do you want meatball; we bought 1 piece; we asked for an account of 32TL; then they reflected it to the account; they put water in the glasses unannounced; they wrote 20TL to the 1.5 liter water on the table. They're not supposed to do it this way.,dataset/indoor_atmosphere/baskent_aspava_taner_gurel.png,3,indoor_atmosphere,Clean Review,,,,
Baskent Aspava,Gun Oksay,The sauces and uncooked meats of the dishes give the impression of a meal prepared in the mall and not in a kebab restaurant.,dataset/outdoor_atmosphere/baskent_aspava_gun_oksay.png,2,outdoor_atmosphere,Clean Review,,,,
Berdan Doner,Mustafa Bolek,As a doner lover; it met my expectations in terms of price; taste and service. It is sure to increase the flavor in wood fire.,dataset/outdoor_atmosphere/berdan_doner_mustafa_bolek.png,4,outdoor_atmosphere,Clean Review,,,,
Berdan Doner,Kenan Karaman,Service was bad. I think a few treats should be given.,dataset/indoor_atmosphere/berdan_doner_kenan_karaman.png,3,indoor_atmosphere,Clean Review,,,,
Berdan Doner,Anil Ozler,High aroma. It is cooked completely on wood fire and without gas fueling. It turns very well.,dataset/taste/berdan_doner_anil_ozler.png,5,taste,Clean Review,,,,
Berdan Doner,Arin Onver,Great doner; I liked it. Portions of it was enough too.,dataset/taste/berdan_doner_arin_onver.png,3,taste,Clean Review,,,,
Berdan Doner,Sercan Ozmeral,Seriously cheap and affordable price for those who want to eat delicious meat doner kebab.,dataset/outdoor_atmosphere/berdan_doner_sercan_ozmeral.png,5,outdoor_atmosphere,Clean Review,,,,
Bilice,Nalan Deniz,Great.,dataset/indoor_atmosphere/bilice_nalan_deniz.png,5,indoor_atmosphere,Clean Review,,,,
Bilice,Selahattin Yilmaz,The prices were too high for a place that sells pastries or pastries.,dataset/menu/bilice_selahattin_yilmaz.png,3,menu,Clean Review,,,,
Bilice,Mevlut Sahin,I'm a regular at currants and pastries with minced meat. It is both delicious and definitely does not disturb the stomach after eating.,dataset/outdoor_atmosphere/bilice_mevlut_sahin.png,4,outdoor_atmosphere,Clean Review,,,,
Bilice,Orhan Uslu,Service sucks. Customer care is below zero. The view is very good but the place is extremely neglected.,dataset/outdoor_atmosphere/bilice_orhan_uslu.png,3,outdoor_atmosphere,Clean Review,,,,
Bilice,Alperen Ozturk,It gets very crowded because it's the weekend; we have to go a little early; you may not find a place to eat something,dataset/taste/bilice_alperen_ozturk.png,5,taste,Clean Review,,,,
Bogazkoy Restaurant,Gokce Mazicioglu,Nice atmosphere; pleasant place. The employees are young; smiling and fast. The breakfast is very nice. Souffles are A-MA-ZING!,dataset/outdoor_atmosphere/bogazkoy_restaurant_gokce_mazicioglu.png,5,outdoor_atmosphere,Clean Review,,,,
Bogazkoy Restaurant,Metin Kurt,They do sushi every thursday and I missed so it was a little sad to miss it. Other than that; the food was good.,dataset/menu/bogazkoy_restaurant_metin_kurt.png,5,menu,Clean Review,,,,
Bogazkoy Restaurant,Kadir Yurtlu,Definitely the best soufflÃ© I've had in a long time. I am satisfied; I recommend.,dataset/taste/bogazkoy_restaurant_kadir_yurtlu.png,5,taste,Clean Review,,,,
Bogazkoy Restaurant,Nafican Tatlici,Asian salmon pastas and salad varieties are very successful. They have not neglected to share the secret of their taste.,dataset/indoor_atmosphere/bogazkoy_restaurant_nafican_tatlici.png,4,indoor_atmosphere,Clean Review,,,,
Bunbun Kas,Burak Sengun,I can say that cleanliness; taste; warm-blooded employees were absolutely perfect.,dataset/taste/bunbun_kas_burak_sengun.png,5,taste,Clean Review,,,,
Bunbun Kas,Semih Donmez,We came to Bunbun for a snack at noon. We generally liked what we ate; including the vegan ones. We especially loved the one with beetroot. Meaty ones are nice. I really liked their fries.,dataset/menu/bunbun_kas_semih_donmez.png,5,menu,Clean Review,,,,
Bunbun Kas,Erdi Ozmen,They make hamburgers from bun bread and come with french fries. Quite tasty and satisfying.,dataset/taste/bunbun_kas_erdi_ozmen.png,4,taste,Clean Review,,,,
Bunbun Kas,Enes Cekic,If you come to KaÅŸ and do not eat bunbun here; you are not considered to have come to KaÅŸ. I would definitely recommend you to try it. Especially the ayran is wonderful.,dataset/outdoor_atmosphere/bunbun_kas_enes_cekic.png,5,outdoor_atmosphere,Clean Review,,,,
Bunbun Kas,Okan Dolay,We ordered meatballs and handmade meatballs that were baked for 6 hours. Meatballs were delicious; meat was delicious.,dataset/menu/bunbun_kas_okan_dolay.png,4,menu,Clean Review,,,,
Cafe Inn,Hooman Sadati,Without any taste how they are at the first rank!!!! We ate cafe Inn pizza. It was 70 tl.,dataset/taste/cafe_inn_hooman_sadati.png,1,taste,Clean Review,,,,
Cafe Inn,Serap Gunay,Pizza is delicious.. I can say it is one of the rare tastes. Prices are in the 200-300 range and one pizza is more than enough for two people if you are not very hungry. The scenery is already gorgeous.,dataset/indoor_atmosphere/cafe_inn_serap_gunay.png,5,indoor_atmosphere,Clean Review,,,,
Cafe Inn,Tugba Gunaydin,The vegan breakfast made me extremely happy. It was nice.,dataset/menu/cafe_inn_tugba_gunaydin.png,4,menu,Clean Review,,,,
Cafe Inn,Can Ozdemir,Whatever we ate was good. The Italian Restaurant is the first thing that comes to mind; apart from pizza and pasta; ciger yahni was successful; purslane salad; presentations are successful. Taste point in Datca.,dataset/outdoor_atmosphere/cafe_inn_can_ozdemir.png,5,outdoor_atmosphere,Clean Review,,,,
Cemo Etliekmek,Hulya Gurbuz,The okra soup was hot and scrumptious to the broth. The meat loaf and tandoori kebab were excellent. We ate in the garden with pleasure in a cool weather.,dataset/taste/cemo_etliekmek_hulya_gurbuz.png,5,taste,Clean Review,,,,
Cemo Etliekmek,Selahattin Ciritci,One of my favorite places in Konya in terms of service; hygiene and taste.,dataset/outdoor_atmosphere/cemo_etliekmek_selahattin_ciritci.png,4,outdoor_atmosphere,Clean Review,,,,
Cemo Etliekmek,Metmet Akyel,It is one of the rare places where I can taste the Etli Ekmek I ate in my childhood.,dataset/indoor_atmosphere/cemo_etliekmek_mehmet_akyel.png,5,indoor_atmosphere,Clean Review,,,,
Cemo Etliekmek,Dogan Korkmaz,My wife and I liked the meat loaf very well; as the distance between the knives is very good. The downside was that there weren't enough toilets; we waited in line.,dataset/menu/cemo_etliekmek_dogan_korkmaz.png,4,menu,Clean Review,,,,
